target,trait,model,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
adhesive_force_g_mean,AF,global_pls,4853,35.606455773163916,26.413922407221776,-0.022692357333423164,0.38591218689876083,0.6214030802609636,0.562986823761685,1.2762316485048244,1.6180047183876731,87.14737993842665,45.44208574879911
adhesive_force_g_mean,AF,cultivar_aware_pls,4853,31.481759855230973,23.12096182227156,0.02085785619365068,0.5199450094033651,0.7241096226606074,0.7045222791142471,1.4434417249151497,1.8299934219359903,87.14737993842665,45.44208574879911
adhesive_force_g_mean,AF,nested_rbf_svr,4853,30.697447967387074,21.94400873490276,-0.10087727988981936,0.5435664819526933,0.7373585169607186,0.7074882158547456,1.4803212891533106,1.8767492824565581,87.14737993842665,45.44208574879911
adhesive_force_g_mean,AF,residual_cnn,4853,30.241545711842313,21.334375420682015,-2.499053396521648,0.5570232263840561,0.7492559415736142,0.7068258399030402,1.5026376687817382,1.905041957676162,87.14737993842665,45.44208574879911
adhesive_force_g_mean,AF,no_neural_b50,4853,30.66904506377843,22.121488375184352,-0.04000971184808405,0.5444107241010259,0.7382098634536084,0.7116302472614403,1.481692229226541,1.8784873583847896,87.14737993842665,45.44208574879911
adhesive_force_g_mean,AF,cultivar_mean_null,4853,32.0586082114871,22.822197043522824,0.0004824497731486491,0.5021914936014892,0.7086575369084546,0.6692385811582856,1.4174690756698696,1.7970653331543618,87.14737993842665,45.44208574879911
adhesive_force_g_mean,AF,plumspectra_corrected,4853,30.10587966422329,21.262536044222767,-1.2999653382057337,0.5609887715855021,0.7499886600860534,0.7121213088935453,1.5094090010198504,1.9136266433199254,87.14737993842665,45.44208574879911
adhesive_force_g_mean,AF,plumspectra_fixed_gate_sensitivity,4853,30.22055602996611,21.476440057329253,-0.8685901952145011,0.5576379247823839,0.7470938390408188,0.7128666367685781,1.5036813255103456,1.9063651042328562,87.14737993842665,45.44208574879911
flesh_force_mean_g_mean,MFF,global_pls,4853,48.39856383774376,37.6756027920637,-0.028992219941845254,0.3513543812600557,0.5930003782897681,0.5273326919159712,1.2417695470044354,1.8084401054266983,96.81548030235781,60.09986269246032
flesh_force_mean_g_mean,MFF,cultivar_aware_pls,4853,40.37180417978163,29.966383662850472,-0.00028656180840810913,0.5486651638682105,0.7409059812571149,0.7132303757304346,1.4886593233442509,2.1679958492680753,96.81548030235781,60.09986269246032
flesh_force_mean_g_mean,MFF,nested_rbf_svr,4853,39.81605466656293,29.68249345719312,0.31456368452524397,0.561005592585647,0.7492772364276461,0.7241057563641382,1.5094379188436142,2.1982565731891404,96.81548030235781,60.09986269246032
flesh_force_mean_g_mean,MFF,residual_cnn,4853,39.08114250711781,28.653554397172822,-1.808013980538201,0.5770616734860025,0.7602782594134168,0.7301983511654484,1.5378225619047445,2.2395942972570237,96.81548030235781,60.09986269246032
flesh_force_mean_g_mean,MFF,no_neural_b50,4853,39.52787645602635,29.19913099025546,0.15713856135841775,0.5673372497839936,0.7532245304386438,0.724420735837968,1.52044248466825,2.2142829753730946,96.81548030235781,60.09986269246032
flesh_force_mean_g_mean,MFF,cultivar_mean_null,4853,40.29667419364077,29.821190293482996,0.0007737037275942281,0.5503434256832214,0.7418534804365484,0.7104570526133113,1.491434811807489,2.1720379073626526,96.81548030235781,60.09986269246032
flesh_force_mean_g_mean,MFF,plumspectra_corrected,4853,38.92281953082825,28.659381298876493,-0.7467251480064786,0.5804814926944271,0.7620424544909263,0.7324382663096293,1.5440778293273205,2.248704100685884,96.81548030235781,60.09986269246032
flesh_force_mean_g_mean,MFF,plumspectra_fixed_gate_sensitivity,4853,39.1318645630823,28.850899614112652,-0.4131318388447569,0.5759631271699044,0.758968644843442,0.7297099679078862,1.5358292625074554,2.2366913732959097,96.81548030235781,60.09986269246032
force_at_6_rawpos_g_mean,F6,global_pls,4853,55.071855493168016,41.016755260442274,-0.014308559585159204,0.27426947510443234,0.5242634402482815,0.44206502103284184,1.1739701499151154,1.637646085720313,96.09704727110878,64.65271444941803
force_at_6_rawpos_g_mean,F6,cultivar_aware_pls,4853,46.89562627051703,32.251433526083446,0.012914467146938684,0.4737638821918123,0.6889674334101819,0.6531544022250791,1.3786512643304811,1.923168869981422,96.09704727110878,64.65271444941803
force_at_6_rawpos_g_mean,F6,nested_rbf_svr,4853,46.23756899708218,31.691485929141052,0.016575277169406048,0.488428953163037,0.6988826719240437,0.6572138263178781,1.398272354100146,1.9505395836756176,96.09704727110878,64.65271444941803
force_at_6_rawpos_g_mean,F6,residual_cnn,4853,45.57285657984973,30.685709557806533,-2.55734569574744,0.5030319423759253,0.7103655249216743,0.6715165431609951,1.4186671475407262,1.9789895861304974,96.09704727110878,64.65271444941803
force_at_6_rawpos_g_mean,F6,no_neural_b50,4853,46.29738877217096,31.64715882126222,0.014744872158172271,0.4871044085854439,0.6979777263545086,0.6577936565547021,1.3964656790380439,1.9480193370204244,96.09704727110878,64.65271444941803
force_at_6_rawpos_g_mean,F6,cultivar_mean_null,4853,46.205609224055706,31.728609459540735,0.00025311078438538864,0.4891359126498487,0.6993857517527652,0.6576248329154092,1.399239519511807,1.9518887445982913,96.09704727110878,64.65271444941803
force_at_6_rawpos_g_mean,F6,plumspectra_corrected,4853,45.633245130781795,30.875154610980005,-1.2703852092890173,0.5017140059107801,0.7086023026379238,0.6670702962441075,1.4167897607134385,1.9763706991091257,96.09704727110878,64.65271444941803
force_at_6_rawpos_g_mean,F6,plumspectra_fixed_gate_sensitivity,4853,45.327540571239034,30.525319559808075,-2.0633743429939657,0.508367841895363,0.7137627753880902,0.6719267521297287,1.4263450792748524,1.9897000244254817,96.09704727110878,64.65271444941803
fruit_weight_g,FW,global_pls,4843,25.057957946502505,20.116186597155938,0.011360616929231234,0.26792847856800883,0.5176824660886594,0.42650337082638445,1.16887504224186,1.9019905812657092,61.093741276068556,29.289621653212862
fruit_weight_g,FW,cultivar_aware_pls,4843,12.392496893681722,9.275377869794006,0.004289808643121579,0.8209477437821376,0.9060955037790184,0.9024375785236125,2.3634963885402374,3.8458754848911285,61.093741276068556,29.289621653212862
fruit_weight_g,FW,nested_rbf_svr,4843,12.452257126367996,9.283204095308797,-0.008158694848473234,0.8192166956585346,0.905124783960369,0.901203547928666,2.3521536180931637,3.827418556839678,61.093741276068556,29.289621653212862
fruit_weight_g,FW,residual_cnn,4843,12.017890330190925,8.919939234011876,-0.25565165450674865,0.8316090940418003,0.9119980495120742,0.9073923733729704,2.437168325594759,3.9657542788745714,61.093741276068556,29.289621653212862
fruit_weight_g,FW,no_neural_b50,4843,12.403440278903448,9.261716916172292,-0.0019344431026758094,0.8206313744520022,0.905908532968632,0.9020917987212246,2.361411108096396,3.842482321704175,61.093741276068556,29.289621653212862
fruit_weight_g,FW,cultivar_mean_null,4843,12.55209634929631,9.235182251009508,3.571419454190508e-05,0.8163061194014027,0.9034967757001817,0.8989195375192165,2.333444616592262,3.7969753158142296,61.093741276068556,29.289621653212862
fruit_weight_g,FW,plumspectra_corrected,4843,12.16515743624244,9.0420159396338,-0.13190517467761098,0.8274568875155444,0.9096626883193585,0.9053026214423998,2.4076648252782338,3.917746256041974,61.093741276068556,29.289621653212862
fruit_weight_g,FW,plumspectra_fixed_gate_sensitivity,4843,12.16515743624244,9.0420159396338,-0.13190517467761098,0.8274568875155444,0.9096626883193585,0.9053026214423998,2.4076648252782338,3.917746256041974,61.093741276068556,29.289621653212862
